Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
1,Fz,1,-1.0061974875385982,Target,13.11.2020
1,Fc1,1,-0.6271315247384586,Target,13.11.2020
1,Fc2,1,0.6334901792548864,Target,13.11.2020
1,C3,1,-1.293173447189386,Target,13.11.2020
1,Cz,1,-0.133444412391178,Target,13.11.2020
1,C4,1,1.1865191179344188,Target,13.11.2020
1,Pz,1,-0.3892298274076957,Target,13.11.2020
1,Fz,2,8.381276310109236,Target,13.11.2020
1,Fc1,2,7.278099320809476,Target,13.11.2020
1,Fc2,2,7.231967041424925,Target,13.11.2020
1,C3,2,5.515751108180781,Target,13.11.2020
1,Cz,2,6.655832769684221,Target,13.11.2020
1,C4,2,6.548227734472816,Target,13.11.2020
1,Pz,2,4.549803881046467,Target,13.11.2020
1,Fz,3,-2.043397159911525,Target,13.11.2020
1,Fc1,3,-0.7282575380905641,Target,13.11.2020
1,Fc2,3,-0.0883353113067951,Target,13.11.2020
1,C3,3,-0.0703874204515985,Target,13.11.2020
1,Cz,3,0.0237523107630011,Target,13.11.2020
1,C4,3,0.7420759593031503,Target,13.11.2020
1,Pz,3,0.4328932404468663,Target,13.11.2020
1,Fz,4,4.908857587795897,Target,13.11.2020
1,Fc1,4,6.601315141820479,Target,13.11.2020
1,Fc2,4,5.193106414049028,Target,13.11.2020
1,C3,4,6.503968073416644,Target,13.11.2020
1,Cz,4,6.249687531261059,Target,13.11.2020
1,C4,4,3.310409076347896,Target,13.11.2020
1,Pz,4,5.066058282779462,Target,13.11.2020
1,Fz,5,-2.6407158756121483,Target,13.11.2020
1,Fc1,5,-2.002389556428476,Target,13.11.2020
1,Fc2,5,-1.8184757833989225,Target,13.11.2020
1,C3,5,-1.634328582503508,Target,13.11.2020
1,Cz,5,-2.033727240486276,Target,13.11.2020
1,C4,5,-1.8271783726918125,Target,13.11.2020
1,Pz,5,-1.8715385226618824,Target,13.11.2020
1,Fz,6,2.860749168188349,Target,13.11.2020
1,Fc1,6,2.8111703053989747,Target,13.11.2020
1,Fc2,6,2.7577318303634155,Target,13.11.2020
1,C3,6,2.134188159215642,Target,13.11.2020
1,Cz,6,2.198234003802236,Target,13.11.2020
1,C4,6,1.8463855940017952,Target,13.11.2020
1,Pz,6,1.2489797092001231,Target,13.11.2020
1,Fz,1,-0.5089748344179175,nonTarget,13.11.2020
1,Fc1,1,-0.6223822608226657,nonTarget,13.11.2020
1,Fc2,1,-0.546865679777476,nonTarget,13.11.2020
1,C3,1,-0.9889857393885282,nonTarget,13.11.2020
1,Cz,1,-0.6631550561761925,nonTarget,13.11.2020
1,C4,1,-0.5597937348586131,nonTarget,13.11.2020
1,Pz,1,-0.968514844117583,nonTarget,13.11.2020
1,Fz,2,1.107201499316361,nonTarget,13.11.2020
1,Fc1,2,1.0075986639497352,nonTarget,13.11.2020
1,Fc2,2,0.8316746521077194,nonTarget,13.11.2020
1,C3,2,0.7349741568830357,nonTarget,13.11.2020
1,Cz,2,0.9306311312419232,nonTarget,13.11.2020
1,C4,2,1.1617102109711437,nonTarget,13.11.2020
1,Pz,2,0.6562281941433521,nonTarget,13.11.2020
1,Fz,3,-0.500484189703535,nonTarget,13.11.2020
1,Fc1,3,-0.9851406067812664,nonTarget,13.11.2020
1,Fc2,3,-0.1511016296548729,nonTarget,13.11.2020
1,C3,3,-1.0732007384403888,nonTarget,13.11.2020
1,Cz,3,-0.63480290516372,nonTarget,13.11.2020
1,C4,3,0.3113610001706806,nonTarget,13.11.2020
1,Pz,3,-1.1837464427717208,nonTarget,13.11.2020
1,Fz,4,2.6207022606852366,nonTarget,13.11.2020
1,Fc1,4,2.4923504925213296,nonTarget,13.11.2020
1,Fc2,4,1.9812123979547709,nonTarget,13.11.2020
1,C3,4,2.0918591007314373,nonTarget,13.11.2020
1,Cz,4,1.8807637080873287,nonTarget,13.11.2020
1,C4,4,1.3959692081445407,nonTarget,13.11.2020
1,Pz,4,1.306599982334598,nonTarget,13.11.2020
1,Fz,5,-0.297691362626972,nonTarget,13.11.2020
1,Fc1,5,-0.21268928954408,nonTarget,13.11.2020
1,Fc2,5,-0.4556967867977386,nonTarget,13.11.2020
1,C3,5,-0.6833558594782743,nonTarget,13.11.2020
1,Cz,5,-0.4156630176628395,nonTarget,13.11.2020
1,C4,5,-1.036060044041225,nonTarget,13.11.2020
1,Pz,5,-0.8746167718573513,nonTarget,13.11.2020
1,Fz,6,-1.179852809679827,nonTarget,13.11.2020
1,Fc1,6,-0.6927047666247139,nonTarget,13.11.2020
1,Fc2,6,-1.0710374469706094,nonTarget,13.11.2020
1,C3,6,0.0473705308346247,nonTarget,13.11.2020
1,Cz,6,-0.878935358095653,nonTarget,13.11.2020
1,C4,6,-0.8357516701131997,nonTarget,13.11.2020
1,Pz,6,-0.6922334299368804,nonTarget,13.11.2020
2,Fz,1,-1.1650235049029452,Target,17.11.2020
2,Fc1,1,-2.9522643519025085,Target,17.11.2020
2,Fc2,1,0.9007173199093883,Target,17.11.2020
2,C3,1,-3.043717566342318,Target,17.11.2020
2,Cz,1,-0.0373063274251616,Target,17.11.2020
2,C4,1,0.2586672084228745,Target,17.11.2020
2,Pz,1,-0.9656404077711148,Target,17.11.2020
2,Fz,2,4.026639906953492,Target,17.11.2020
2,Fc1,2,4.714704012806049,Target,17.11.2020
2,Fc2,2,4.493708862722471,Target,17.11.2020
2,C3,2,4.362939898949284,Target,17.11.2020
2,Cz,2,5.379355466738798,Target,17.11.2020
2,C4,2,3.997373209704084,Target,17.11.2020
2,Pz,2,3.162779931937087,Target,17.11.2020
2,Fz,3,2.026298296532288,Target,17.11.2020
2,Fc1,3,1.027874069196071,Target,17.11.2020
2,Fc2,3,3.0685939686215127,Target,17.11.2020
2,C3,3,0.0355719181724362,Target,17.11.2020
2,Cz,3,2.632327339665431,Target,17.11.2020
2,C4,3,2.8647844034686183,Target,17.11.2020
2,Pz,3,0.8734275834688847,Target,17.11.2020
2,Fz,4,2.8292481188204244,Target,17.11.2020
2,Fc1,4,4.002184766496431,Target,17.11.2020
2,Fc2,4,2.568043826334739,Target,17.11.2020
2,C3,4,3.6888838059423454,Target,17.11.2020
2,Cz,4,3.392834405631649,Target,17.11.2020
2,C4,4,1.998319171549222,Target,17.11.2020
2,Pz,4,1.5109124576475614,Target,17.11.2020
2,Fz,5,2.635840815025236,Target,17.11.2020
2,Fc1,5,2.420096475715396,Target,17.11.2020
2,Fc2,5,2.893798311544694,Target,17.11.2020
2,C3,5,1.302614653517752,Target,17.11.2020
2,Cz,5,2.82418147944891,Target,17.11.2020
2,C4,5,2.2141310917058448,Target,17.11.2020
2,Pz,5,1.2838602107286905,Target,17.11.2020
2,Fz,6,0.2564582158855215,Target,17.11.2020
2,Fc1,6,-0.0357898015995419,Target,17.11.2020
2,Fc2,6,0.2628994926777829,Target,17.11.2020
2,C3,6,-0.0287966981044013,Target,17.11.2020
2,Cz,6,0.6321711697200422,Target,17.11.2020
2,C4,6,-0.0326823556770156,Target,17.11.2020
2,Pz,6,-0.0232650175421846,Target,17.11.2020
2,Fz,1,-1.5135458071461734,nonTarget,17.11.2020
2,Fc1,1,-2.2466695350453367,nonTarget,17.11.2020
2,Fc2,1,-1.1912927403815012,nonTarget,17.11.2020
2,C3,1,-2.2129987442344508,nonTarget,17.11.2020
2,Cz,1,-1.9689225362795737,nonTarget,17.11.2020
2,C4,1,-1.4026714134397666,nonTarget,17.11.2020
2,Pz,1,-1.4891191702513662,nonTarget,17.11.2020
2,Fz,2,-0.3597871573349351,nonTarget,17.11.2020
2,Fc1,2,0.7962743298630852,nonTarget,17.11.2020
2,Fc2,2,-0.3186108344920721,nonTarget,17.11.2020
2,C3,2,1.539513337890142,nonTarget,17.11.2020
2,Cz,2,0.4866925224816237,nonTarget,17.11.2020
2,C4,2,-0.0043719717131308,nonTarget,17.11.2020
2,Pz,2,0.7447720528184789,nonTarget,17.11.2020
2,Fz,3,0.7626308615064761,nonTarget,17.11.2020
2,Fc1,3,-0.2519099033807663,nonTarget,17.11.2020
2,Fc2,3,0.3958399754618056,nonTarget,17.11.2020
2,C3,3,-0.1934773509892364,nonTarget,17.11.2020
2,Cz,3,-0.0955276852276756,nonTarget,17.11.2020
2,C4,3,-0.1760974041598345,nonTarget,17.11.2020
2,Pz,3,-0.2193623378447877,nonTarget,17.11.2020
2,Fz,4,0.7761515049553398,nonTarget,17.11.2020
2,Fc1,4,0.933563887000143,nonTarget,17.11.2020
2,Fc2,4,0.0963348013686571,nonTarget,17.11.2020
2,C3,4,0.7273342721463545,nonTarget,17.11.2020
2,Cz,4,0.1629821361522051,nonTarget,17.11.2020
2,C4,4,-0.1795158559111512,nonTarget,17.11.2020
2,Pz,4,-0.1661134533387924,nonTarget,17.11.2020
2,Fz,5,1.2684542611764371,nonTarget,17.11.2020
2,Fc1,5,1.170967189473742,nonTarget,17.11.2020
2,Fc2,5,0.7421618526893697,nonTarget,17.11.2020
2,C3,5,1.1507688961909512,nonTarget,17.11.2020
2,Cz,5,0.4354936541438671,nonTarget,17.11.2020
2,C4,5,0.2626851718175756,nonTarget,17.11.2020
2,Pz,5,0.1587509439952725,nonTarget,17.11.2020
2,Fz,6,0.7978793687589406,nonTarget,17.11.2020
2,Fc1,6,0.9877340673162558,nonTarget,17.11.2020
2,Fc2,6,0.4708266848157157,nonTarget,17.11.2020
2,C3,6,0.4944399487133279,nonTarget,17.11.2020
2,Cz,6,0.268968155827912,nonTarget,17.11.2020
2,C4,6,0.7869773770072195,nonTarget,17.11.2020
2,Pz,6,-0.3399785537907147,nonTarget,17.11.2020
3,Fz,1,0.1154234019769524,Target,19.11.2020
3,Fc1,1,0.3764828508908162,Target,19.11.2020
3,Fc2,1,1.2765469982483892,Target,19.11.2020
3,C3,1,-1.029248803540959,Target,19.11.2020
3,Cz,1,0.8359579479206682,Target,19.11.2020
3,C4,1,1.6623033103653035,Target,19.11.2020
3,Pz,1,0.4388486672166836,Target,19.11.2020
3,Fz,2,6.545520363631566,Target,19.11.2020
3,Fc1,2,6.483148434249079,Target,19.11.2020
3,Fc2,2,5.4429039032060125,Target,19.11.2020
3,C3,2,5.417319102802455,Target,19.11.2020
3,Cz,2,4.433502910429857,Target,19.11.2020
3,C4,2,3.372866962056312,Target,19.11.2020
3,Pz,2,2.9478365624785225,Target,19.11.2020
3,Fz,3,0.8534835834294467,Target,19.11.2020
3,Fc1,3,0.7040645989384164,Target,19.11.2020
3,Fc2,3,1.4381073820474093,Target,19.11.2020
3,C3,3,-0.131835728108194,Target,19.11.2020
3,Cz,3,0.5666791518861947,Target,19.11.2020
3,C4,3,1.6953325426683343,Target,19.11.2020
3,Pz,3,1.1096301979015857,Target,19.11.2020
3,Fz,4,-1.1274480422608026,Target,19.11.2020
