Session,Electrode,Tactilo,Mean Amplitude,Condition
1,Fz,1,-0.26834101972479574,Target
1,Fc1,1,1.5854676112173347,Target
1,Fc2,1,1.3694810309288734,Target
1,C3,1,2.134530440044424,Target
1,Cz,1,2.606214660063772,Target
1,C4,1,1.2580790186429254,Target
1,Pz,1,2.1101807448792904,Target
1,Fz,2,4.412116754710603,Target
1,Fc1,2,4.632354462457431,Target
1,Fc2,2,3.760430893791447,Target
1,C3,2,4.00472128993109,Target
1,Cz,2,4.4233599534017,Target
1,C4,2,3.3225202168105197,Target
1,Pz,2,2.285986236791439,Target
1,Fz,3,3.395546070534662,Target
1,Fc1,3,3.4271880435664124,Target
1,Fc2,3,2.8816891015724027,Target
1,C3,3,2.6412147425184123,Target
1,Cz,3,3.2658228005447625,Target
1,C4,3,2.1595405841462005,Target
1,Pz,3,1.4163204738756376,Target
1,Fz,4,3.5296151840566035,Target
1,Fc1,4,3.5480949120634713,Target
1,Fc2,4,2.415610545736131,Target
1,C3,4,3.2997147204736033,Target
1,Cz,4,3.3310763538670125,Target
1,C4,4,2.121713242250588,Target
1,Pz,4,0.6620558757460153,Target
1,Fz,1,0.2382621068697627,nonTarget
1,Fc1,1,-0.6004681469839828,nonTarget
1,Fc2,1,0.10258017123231286,nonTarget
1,C3,1,-0.7813627602004847,nonTarget
1,Cz,1,-0.9026362245618503,nonTarget
1,C4,1,-0.21424133328276204,nonTarget
1,Pz,1,-0.8320642656079593,nonTarget
1,Fz,2,0.5785098227901848,nonTarget
1,Fc1,2,0.46118852976950386,nonTarget
1,Fc2,2,0.1603237274283011,nonTarget
1,C3,2,0.15882421961209403,nonTarget
1,Cz,2,-0.1905248398484346,nonTarget
1,C4,2,0.017778473417049707,nonTarget
1,Pz,2,-0.7734359438530951,nonTarget
1,Fz,3,-1.3797390778659833,nonTarget
1,Fc1,3,-1.6186529431248173,nonTarget
1,Fc2,3,-0.8060614555414838,nonTarget
1,C3,3,-1.4159333193763337,nonTarget
1,Cz,3,-1.4221450693262843,nonTarget
1,C4,3,-0.7027832824175234,nonTarget
1,Pz,3,-1.162862381449934,nonTarget
1,Fz,4,-1.436803780856458,nonTarget
1,Fc1,4,-1.2567614908169837,nonTarget
1,Fc2,4,-1.3131201594358775,nonTarget
1,C3,4,-1.3717978659047927,nonTarget
1,Cz,4,-1.3366485308467402,nonTarget
1,C4,4,-0.8658949286487699,nonTarget
1,Pz,4,-1.0546475044007573,nonTarget
2,Fz,1,4.4198967837758545,Target
2,Fc1,1,2.0009045072013913,Target
2,Fc2,1,1.4846611812291264,Target
2,C3,1,1.7997770180557833,Target
2,Cz,1,2.103861028931194,Target
2,C4,1,1.5277793206349508,Target
2,Pz,1,-0.8659745933599954,Target
2,Fz,2,3.4384750783977434,Target
2,Fc1,2,2.1855693698673733,Target
2,Fc2,2,1.8826368518013572,Target
2,C3,2,2.5786918409920556,Target
2,Cz,2,2.322016436624165,Target
2,C4,2,1.6571264017621261,Target
2,Pz,2,1.1786960748242232,Target
2,Fz,3,2.4906011992032178,Target
2,Fc1,3,3.337509378822448,Target
2,Fc2,3,3.005985802741518,Target
2,C3,3,3.3469406847768868,Target
2,Cz,3,3.3722830478633385,Target
2,C4,3,1.766863941905708,Target
2,Pz,3,0.4597261322806844,Target
2,Fz,4,0.11397668040846438,Target
2,Fc1,4,-0.22239776678175402,Target
2,Fc2,4,-0.003940766143484761,Target
2,C3,4,-0.45179395743566136,Target
2,Cz,4,0.32225023302558486,Target
2,C4,4,0.1177836717801902,Target
2,Pz,4,0.5332487753585959,Target
2,Fz,1,0.24931237305272008,nonTarget
2,Fc1,1,-0.6424036692204889,nonTarget
2,Fc2,1,-0.7924603025541221,nonTarget
2,C3,1,-0.2565676762101753,nonTarget
2,Cz,1,-0.7166273435311437,nonTarget
2,C4,1,-1.1416650027969169,nonTarget
2,Pz,1,-0.7328543328525823,nonTarget
2,Fz,2,0.954343307351625,nonTarget
2,Fc1,2,-0.2525639509689286,nonTarget
2,Fc2,2,-0.5054661042680085,nonTarget
2,C3,2,-0.2322627736030013,nonTarget
2,Cz,2,-0.8446006971174682,nonTarget
2,C4,2,-0.8227455543578561,nonTarget
2,Pz,2,-1.152838130175753,nonTarget
2,Fz,3,-1.9493411961354417,nonTarget
2,Fc1,3,-1.512267968643068,nonTarget
2,Fc2,3,-1.4500451866749142,nonTarget
2,C3,3,-1.2647768597389328,nonTarget
2,Cz,3,-1.7305092177925154,nonTarget
2,C4,3,-1.0420758064721136,nonTarget
2,Pz,3,-1.5145848610907562,nonTarget
2,Fz,4,-0.5437851378028575,nonTarget
2,Fc1,4,-0.3188263851597401,nonTarget
2,Fc2,4,-0.5361782136082778,nonTarget
2,C3,4,-0.11680941279814153,nonTarget
2,Cz,4,-0.7799686402225072,nonTarget
2,C4,4,-0.5239955433939169,nonTarget
2,Pz,4,-1.071686684358593,nonTarget
