Session,Condition,Tactilo,Mean Amplitude
1,Target,2.5,2.704725176603499
1,nonTarget,2.5,-0.7043256519011464
2,Target,2.5,1.6393983699479673
2,nonTarget,2.5,-0.7587232489694242
3,Target,2.5,1.9232908001292006
3,nonTarget,2.5,-0.5178905117641123
4,Target,2.5,0.44039674071622065
4,nonTarget,2.5,-0.09767688235102054
5,Target,2.5,2.84361199969899
5,nonTarget,2.5,-1.045879670690659
6,Target,2.5,1.9158861786567667
6,nonTarget,2.5,-0.2697025896290281
7,Target,2.5,2.093656563039049
7,nonTarget,2.5,-0.14419278213018716
8,Target,2.5,2.4057681918739084
8,nonTarget,2.5,-0.4978151832582563
9,Target,2.5,2.1011246222947055
9,nonTarget,2.5,-0.8072385641354674
10,Target,2.5,2.6333201277142804
10,nonTarget,2.5,-0.5768643233686437
11,Target,2.5,3.3784840885425136
11,nonTarget,2.5,-0.6357467120441557
12,Target,2.5,1.4332266598466668
12,nonTarget,2.5,-0.43066504075859796
13,Target,2.5,2.3159553109418844
13,nonTarget,2.5,-0.49337015410256907
14,Target,2.5,2.84698330259823
14,nonTarget,2.5,-0.4157991461275002
15,Target,2.5,2.4701121047946915
15,nonTarget,2.5,-0.9515597333676871
16,Target,2.5,2.437288467754972
16,nonTarget,2.5,-0.7119620187557668
17,Target,2.5,2.6930523011844127
17,nonTarget,2.5,-0.1116967808746036
18,Target,2.5,2.910519582309927
18,nonTarget,2.5,-0.8203402501798406
19,Target,2.5,2.938479358404962
19,nonTarget,2.5,-0.8023589132158151
20,Target,2.5,2.5323915498219978
20,nonTarget,2.5,-0.2747040207117505
21,Target,2.5,2.0844903851491803
21,nonTarget,2.5,-0.3745195344113373
22,Target,2.5,3.0818244235525887
22,nonTarget,2.5,-0.8404806367595844
23,Target,2.5,1.6248357951263657
23,nonTarget,2.5,-0.29167537479712685
24,Target,2.5,2.2094253560903456
24,nonTarget,2.5,-0.8369653531340537
25,Target,2.5,2.258204745762947
25,nonTarget,2.5,-0.7038023751216586
26,Target,2.5,2.4185057934677294
26,nonTarget,2.5,-0.47085647133374836
27,Target,2.5,2.2302865834129753
27,nonTarget,2.5,-0.4801176183345154
28,Target,2.5,2.6243610587803636
28,nonTarget,2.5,-0.469861661511682
29,Target,2.5,2.1400954975250133
29,nonTarget,2.5,-0.49512557415574804
30,Target,2.5,1.729699598134166
30,nonTarget,2.5,-0.14469461541077794
31,Target,3.5,1.9681576616252956
31,nonTarget,3.5,0.04392309320414221
32,Target,3.5,1.7204227579617577
32,nonTarget,3.5,0.0497196380621341
33,Target,3.5,1.4786305922913896
33,nonTarget,3.5,-0.32569489789292694
34,Target,3.5,0.9153430214659557
34,nonTarget,3.5,0.13321044482939443
35,Target,3.5,1.5833682006799745
35,nonTarget,3.5,-0.22291866716083023
36,Target,3.5,2.2792527292370854
36,nonTarget,3.5,-0.6285554780669307
37,Target,3.5,0.9074805525017128
37,nonTarget,3.5,0.46268276675923753
38,Target,3.5,1.721758179136011
38,nonTarget,3.5,-0.11505621543812124
39,Target,3.5,2.140954225054467
39,nonTarget,3.5,-0.263307738432695
40,Target,3.5,1.6816570189620965
40,nonTarget,3.5,-0.17612070079379552
41,Target,3.5,1.443545438304756
41,nonTarget,3.5,-0.0365365869122118
42,Target,3.5,1.5329003129219736
42,nonTarget,3.5,-0.5280813540133535
43,Target,3.5,2.3964146611483352
43,nonTarget,3.5,-0.4842607903227599
44,Target,3.5,1.2261523333633477
44,nonTarget,3.5,-0.7998421203804708
45,Target,3.5,2.041842839692958
45,nonTarget,3.5,-0.7787629615667904
46,Target,3.5,-0.02131642358253955
46,nonTarget,3.5,-0.281566051398967
47,Target,3.5,1.7415087337024322
47,nonTarget,3.5,-0.7066506126293365
48,Target,3.5,1.5298977712310327
48,nonTarget,3.5,-0.7885303319537753
49,Target,3.5,2.3867629283255334
49,nonTarget,3.5,-0.5330188646654437
50,Target,3.5,2.738576930174362
50,nonTarget,3.5,-0.6718570679781796
51,Target,3.5,2.769168586294213
51,nonTarget,3.5,-0.37548466176668704
52,Target,3.5,2.501916701261384
52,nonTarget,3.5,-0.6099107251494398
53,Target,3.5,2.3181715436596795
53,nonTarget,3.5,-0.4439823713896219
54,Target,3.5,2.993683987729102
54,nonTarget,3.5,-1.0000379775890238
55,Target,3.5,1.2720886774430658
55,nonTarget,3.5,-0.35568287810483273
56,Target,3.5,1.204730902170752
56,nonTarget,3.5,-0.16908107202078768
57,Target,3.5,2.901576010995068
57,nonTarget,3.5,-0.577893495618309
58,Target,3.5,1.7846014105446986
58,nonTarget,3.5,-0.5358862367177869
59,Target,3.5,3.07994177757257
59,nonTarget,3.5,-0.30767612070133055
60,Target,3.5,2.0560877215212656
60,nonTarget,3.5,-0.8036350316972813
61,Target,3.5,2.856048600951021
61,nonTarget,3.5,-0.8765553017456595
62,Target,3.5,2.203461155622134
62,nonTarget,3.5,-0.06921470980400804
63,Target,3.5,2.6800941307260326
63,nonTarget,3.5,-0.3997260035321998
64,Target,3.5,2.1343045704282457
64,nonTarget,3.5,-0.11669728723890531
65,Target,3.5,1.4005436947401098
65,nonTarget,3.5,-0.2704778644988733
66,Target,3.5,1.9777431000076182
66,nonTarget,3.5,-0.05236281121816794
67,Target,3.5,3.0967952694857606
67,nonTarget,3.5,-0.7712081530629136
68,Target,3.5,2.1104278223772486
68,nonTarget,3.5,-0.5701056691983628
69,Target,3.5,3.568584995699377
69,nonTarget,3.5,-0.7772052148690989
